flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-05-22,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,E36-,,2026-05-22T03:35:00+00:00,2026-05-22T03:35:00+00:00,,,,King Khaled International,Asia/Riyadh,RUH,OERK,3,,,2026-05-22T05:15:00+00:00,,,,,,Saudia,SV,SVA,6569,SV6569,SVA6569,flyadeal,f3,fad,160,f3160,fad160,,,,710128,,
2026-05-22,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,,,2026-05-22T03:30:00+00:00,2026-05-22T03:30:00+00:00,,,,"Athens International Airport ""Eleftherios Venizelos""",Europe/Athens,ATH,LGAV,,,01,2026-05-22T07:10:00+00:00,,,,,,Saudia,SV,SVA,6383,SV6383,SVA6383,aegean airlines,a3,aee,951,a3951,aee951,,,,46B8B4,,
2026-05-22,scheduled,,Ioannis Kapodistrias,Europe/Athens,CFU,LGKR,,,,2026-05-22T00:45:00+00:00,2026-05-22T00:45:00+00:00,,,,Ioannina,Europe/Athens,IOA,LGIO,,,,2026-05-22T01:20:00+00:00,,,,,,Greece - Air Force,,HAF,,,HAF,,,,,,,,,,46807B,,
2026-05-22,scheduled,,,,IKA,OIIE,,,,2026-05-22T04:55:00+00:00,2026-05-22T04:55:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T07:40:00+00:00,,,,,,Caspian Airlines,IV,CPN,,IV,CPN,,,,,,,,,,732E01,,
2026-05-22,active,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,,,,2026-05-22T03:40:00+00:00,2026-05-22T03:40:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,,,2026-05-22T06:05:00+00:00,,,,,,DHL Air,D0,DHK,782,D0782,DHK782,,,,,,,,,,789239,,
2026-05-22,active,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,,,,2026-05-22T03:30:00+00:00,2026-05-22T03:30:00+00:00,,,,Chu-Bu Centrair International (Central Japan International),Asia/Tokyo,NGO,RJGG,,,,2026-05-22T08:20:00+00:00,,,,,,DHL Air,D0,DHK,216,D0216,DHK216,,,,,,,,,,78927A,,
2026-05-22,active,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,,,,2026-05-22T03:20:00+00:00,2026-05-22T03:20:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,,,,2026-05-22T07:45:00+00:00,,,,,,DHL Air,D0,DHK,128,D0128,DHK128,,,,,,,,,,789251,,
2026-05-22,active,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T2,,,2026-05-22T02:45:00+00:00,2026-05-22T02:45:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,,,,2026-05-22T09:30:00+00:00,,,,,,Air Zeta,KJ,AIH,374,KJ374,AIH374,,,,,,,,,,71C503,,
2026-05-22,scheduled,,Heydar Aliyev International (Bina International),Asia/Baku,GYD,UBBB,,,,2026-05-22T02:30:00+00:00,2026-05-22T02:30:00+00:00,,,,Milano Malpensa,Europe/Rome,MXP,LIMC,T1,,,2026-05-22T02:40:00+00:00,,,,,,Silk Way West Airlines,7L,AZG,271,7L271,AZG271,,,,,,,,,,600B20,,
2026-05-22,scheduled,,Magadan,Asia/Magadan,GDX,UHMM,,,,2026-05-22T10:10:00+00:00,2026-05-22T10:10:00+00:00,,,,Tolmachevo,Asia/Novosibirsk,OVB,UNNT,C,,,2026-05-22T11:40:00+00:00,,,,,,S7 Airlines,S7,SBI,5220,S75220,SBI5220,,,,,,,,,,,,
2026-05-22,active,,Shuangliu,Asia/Shanghai,CTU,ZUUU,,,,2026-05-22T04:00:00+00:00,2026-05-22T04:00:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,,,,2026-05-22T09:10:00+00:00,131.0,,,,,Air China Cargo,CAO,CAO,3159,CAO3159,CAO3159,,,,,,,,,,780019,,
2026-05-22,active,,Shuangliu,Asia/Shanghai,CTU,ZUUU,,,,2026-05-22T03:20:00+00:00,2026-05-22T03:20:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,,,,2026-05-22T08:25:00+00:00,,,,,,Air Zeta,KJ,AIH,920,KJ920,AIH920,,,,,,,,,,71C355,,
2026-05-22,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,,,,2026-05-22T03:15:00+00:00,2026-05-22T03:15:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,,,,2026-05-22T05:30:00+00:00,,,,,,Tianjin Air Cargo,HT,CTJ,3805,HT3805,CTJ3805,,,,,,,,,,780566,,
2026-05-22,active,,Cochin International,Asia/Kolkata,COK,VOCI,,,,2026-05-22T00:45:00+00:00,2026-05-22T00:45:00+00:00,,,,Thiruvananthapuram International,Asia/Kolkata,TRV,VOTV,,,,2026-05-22T01:25:00+00:00,,,,,,Malaysia Airlines,MH,MAS,116,MH116,MAS116,,,,,,,,,,,,
2026-05-22,active,,Cochin International,Asia/Kolkata,COK,VOCI,,,,2026-05-22T00:45:00+00:00,2026-05-22T00:45:00+00:00,,,,Thiruvananthapuram International,Asia/Kolkata,TRV,VOTV,,,,2026-05-22T01:25:00+00:00,,,,,,Japan Airlines,JL,JTL,7952,JL7952,JTL7952,malaysia airlines,mh,mas,116,mh116,mas116,,,,,,
